"","species","factor","550","775","975","1200","1475","1800","2100","2400","2700","3000"
"1","Abies alba","at",0.4,0.5,0.6,0.7,0.9,1.1,1.2,0.9,0.5,NA
"2","Abies amabilis","at",NA,0.3,0.6,1,1.1,1.1,1,0.9,0.6,0.3
"3","Abies grandis","at",NA,NA,0.5,0.8,1,1.1,1.2,1.1,1,0.75
"4","Abies nordmanniana","at",0.3,0.45,0.55,0.7,0.9,1.2,1.1,0.95,0.7,0.35
"5","Abies procera","at",0.4,0.7,0.9,1,1.2,1,0.5,0,NA,NA
"6","Acer campestre","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acer macrophyllum","at",NA,0.5,0.75,0.9,1.1,1.2,1.2,1,0.75,0.5
"8","Acer platanoides","at",0,0.5,0.7,0.9,1.05,1.1,1,0.75,0.6,0.5
"9","Acer pseudoplatanus","at",NA,NA,NA,0.5,0.8,1,1,1,0.75,0.5
"10","Alnus cordata","at",NA,NA,NA,0.5,0.9,1.1,1.1,1.2,0.85,0.5
"11","Alnus glutinosa","at",NA,0.5,0.65,0.8,1,1,1,1,0.8,0.6
"12","Alnus incana","at",NA,0.3,0.75,1,1.1,1.2,1,0.75,0.5,NA
"13","Alnus rubra","at",0,0.5,0.8,1,1.1,1.1,1,0.75,0.6,0.5
"14","Arbutus unedo","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Betula pendula","at",0.2,0.5,0.8,1.1,1.2,1.2,1.1,0.8,0.6,0.3
"16","Betula pubescens","at",0.5,0.7,0.85,1,1,1,0.8,0.6,0.3,0
"17","Buxus sempervirens","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Carpinus betulus","at",NA,NA,NA,0.5,0.75,1,1,1,1,0.9
"19","Castanea sativa","at",NA,NA,0.3,0.6,1,1.1,1.1,1.1,1.1,1
"20","Chamaecyparis lawsoniana","at",0.3,0.5,0.65,0.8,1,NA,NA,NA,NA,0.8
"21","Cornus sanguinea","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Corylus avellana","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Crataegus laevigata","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Crataegus monogyna","at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Cryptomeria japonica","at",NA,0.5,0.7,0.9,1.1,NA,NA,1,NA,0.75
