"","species","factor","1","2","3","4","5","6","7","8","9","10","11","12"
"1","Abies alba","ct",NA,NA,NA,NA,NA,0.7,1,1,1,1,1,1
"2","Abies amabilis","ct",1,1,1,1,1,1,1,0.8,0.7,0.6,0.5,0.4
"3","Abies grandis","ct",0.4,0.55,0.6,0.65,0.8,1,1.1,1,0.75,NA,NA,NA
"4","Abies nordmanniana","ct",0,NA,NA,0.3,0.5,0.7,0.9,1.2,1.2,1.2,1.2,1.2
"5","Abies procera","ct",0.3,0.4,0.5,0.75,1,1.2,1.1,0.9,0.6,0.2,NA,NA
"6","Acer campestre","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acer macrophyllum","ct",1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.75,0.5,NA,NA,NA
"8","Acer platanoides","ct",NA,NA,NA,NA,0.6,0.9,1,1,1,1,1,1
"9","Acer pseudoplatanus","ct",1,1,1,1,1,1,1,1,1,1,1,1
"10","Alnus cordata","ct",1.1,1.1,1.1,1.1,1.1,1,0.9,0.7,0.5,NA,NA,NA
"11","Alnus glutinosa","ct",0.2,0.4,0.6,0.8,1,1,1,1,1,1,1,1
"12","Alnus incana","ct",1,1,1,1,1,1,1,1,1,1,1,1
"13","Alnus rubra","ct",1.1,1.1,1.1,1.1,1.1,1,1,0.9,0.8,0.7,0.6,0.5
"14","Arbutus unedo","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Betula pendula","ct",1,1,1,1,1,1,1,1,1,1,1,1
"16","Betula pubescens","ct",1,1.1,1.2,1.2,1.15,1.1,1,0.9,0.8,0.7,0.6,0.5
"17","Buxus sempervirens","ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Carpinus betulus","ct",NA,NA,NA,NA,NA,0.6,1,1,1,1,1,1
"19","Castanea sativa","ct",NA,0.2,0.3,0.5,0.8,1,1.1,1.1,1.1,1.1,1.1,1.1
