"","species","factor","20","60","90","120","140","160","180","200","230","260","290","320"
"1","Abies alba","md",NA,0.75,1,1.1,1.1,0.9,0.75,0.55,NA,NA,NA,NA
"2","Abies amabilis","md",1,1,1,1,1,1,1,0.85,0.75,0.5,0,NA
"3","Abies grandis","md",0.5,0.8,1,1.05,1.05,1,0.8,0.65,0.3,NA,NA,NA
"4","Abies nordmanniana","md",NA,0.2,0.65,0.95,1.2,1.1,1,0.9,NA,0.5,NA,0
"5","Abies procera","md",0.6,1,1.1,0.9,0.7,0.5,0.2,NA,NA,NA,NA,NA
"6","Acer campestre","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acer macrophyllum","md",NA,0.2,0.65,0.95,1.1,1.1,1,0.9,0.75,0.55,NA,0
"8","Acer platanoides","md",0.75,1,1.1,1.1,1.1,1.1,1.1,1,0.75,0.5,NA,NA
"9","Acer pseudoplatanus","md",0.6,0.9,1,1,1,1,1,1,0.75,0.5,0,NA
"10","Alnus cordata","md",NA,NA,0.5,0.85,1,1.1,1.2,1.2,1,0.75,0.5,NA
"11","Alnus glutinosa","md",0.5,0.7,0.9,1,1,1,1,1,0.8,0.6,0.4,NA
"12","Alnus incana","md",0.2,0.75,1.1,1.2,1.2,1.1,1,0.9,0.75,0.5,NA,NA
"13","Alnus rubra","md",1.1,1.1,1.1,1.2,1.2,1.05,0.9,0.75,0.6,0.4,0.2,0
"14","Arbutus unedo","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Betula pendula","md",0.5,0.75,1,1.1,1.2,1.2,1.1,1,0.8,0.5,0,NA
"16","Betula pubescens","md",1,1.1,1.2,1.1,1,0.8,0.7,0.6,0.4,0.1,0,NA
"17","Buxus sempervirens","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Carpinus betulus","md",NA,NA,0.5,0.75,1,1.1,1.1,1.1,1,0.9,0.75,0.4
"19","Castanea sativa","md",0.3,0.8,1,1.1,1.1,1.1,1.1,1,0.75,0.5,0,NA
"20","Chamaecyparis lawsoniana","md",0.5,1,1.1,1.2,1.1,1,0.85,0.7,0.5,0.3,NA,0
"21","Cornus sanguinea","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Corylus avellana","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Crataegus laevigata","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Crataegus monogyna","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Cryptomeria japonica","md",0.5,1,1.1,1.2,1,0.8,0.6,0.4,NA,NA,NA,NA
"26","Cupressocyparis x leyandii","md",0.6,1,NA,NA,NA,NA,NA,0.75,0.6,0.45,0.3,0.2
"27","Eucalyptus gunnii","md",0.3,0.65,0.85,1,1.1,1.1,1.1,1,0.85,0.6,0.3,NA
"28","Euclayptus nitens","md",NA,0.5,0.7,0.95,1.1,1.1,NA,NA,1.1,0.75,0.5,NA
"29","Euonymus europaeus","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Fagus sylvatica","md",0.5,0.7,0.9,1,1,1,1,0.75,0.5,0.1,NA,NA
"31","Frangula alnus","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Fraxinus excelsior","md",0.75,0.9,1,1,1,0.9,0.7,0.5,0,NA,NA,NA
"33","Hippophae rhamnoides","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Ilex aquifolium","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Juglans nigra","md",NA,NA,0.5,0.95,1.1,1.2,1.1,NA,0.75,0.5,NA,NA
"36","Juglans regia","md",NA,NA,0.5,0.75,1,1.1,1.2,1.1,1,0.75,0.5,NA
"37","Juniperus communis","md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Larix decidua","md",0.1,0.6,0.9,1.1,1.1,0.95,0.85,0.7,0.5,0,NA,NA
"39","Larix eurolepsis","md",0.3,0.5,0.75,1,1,1,0.9,0.6,0.4,NA,NA,NA
"40","Larix kaempferi","md",0.75,0.9,1,1,1,0.9,0.6,0.4,0,NA,NA,NA
