"","species","factor","0","1","2","3","4","5","6"
"1","Abies alba","snr",NA,0.2,0.7,1,1.1,1,0.7
"2","Abies amabilis","snr",0.1,0.3,0.8,1.1,1.1,0.8,NA
"3","Abies grandis","snr",NA,0,0.7,1.1,1.25,1,0
"4","Abies nordmanniana","snr",NA,0.25,0.6,1,1.1,1,0.65
"5","Abies procera","snr",0,0.3,0.6,1.1,1,0.7,0
"6","Acer campestre","snr",NA,NA,NA,NA,NA,NA,NA
"7","Acer macrophyllum","snr",0,0.3,0.65,1,1.1,0.65,NA
"8","Acer platanoides","snr",NA,NA,0.6,1,1,1,1
"9","Acer pseudoplatanus","snr",NA,0,0.5,0.75,1,1,0.6
"10","Alnus cordata","snr",0,0.6,1.05,1.1,1.2,1,0.6
"11","Alnus glutinosa","snr",0,NA,NA,0.7,1,1,0.3
"12","Alnus incana","snr",0.3,0.65,1,1.1,1.1,1,0.6
"13","Alnus rubra","snr",NA,0,0.85,1.1,1.1,0.6,NA
"14","Arbutus unedo","snr",NA,NA,NA,NA,NA,NA,NA
"15","Betula pendula","snr",0.3,0.65,1,1,0.7,0.4,NA
"16","Betula pubescens","snr",0.3,0.7,1,1,0.6,0,NA
"17","Buxus sempervirens","snr",NA,NA,NA,NA,NA,NA,NA
"18","Carpinus betulus","snr",NA,NA,0.7,1,1,1,0.7
"19","Castanea sativa","snr",NA,0,0.6,1,1,0.6,NA
"20","Chamaecyparis lawsoniana","snr",0,0.3,0.6,1,1.21,1,0
"21","Cornus sanguinea","snr",NA,NA,NA,NA,NA,NA,NA
"22","Corylus avellana","snr",NA,NA,NA,NA,NA,NA,NA
"23","Crataegus laevigata","snr",NA,NA,NA,NA,NA,NA,NA
"24","Crataegus monogyna","snr",NA,NA,NA,NA,NA,NA,NA
"25","Cryptomeria japonica","snr",NA,NA,0.65,1.1,1.1,0.65,NA
"26","Cupressocyparis x leyandii","snr",NA,NA,0.7,1,1.2,1,0.7
"27","Eucalyptus gunnii","snr",0,0.5,0.8,1,1.1,0.65,NA
"28","Euclayptus nitens","snr",NA,0.5,1,1,0.65,NA,NA
"29","Euonymus europaeus","snr",NA,NA,NA,NA,NA,NA,NA
"30","Fagus sylvatica","snr",NA,0,0.7,0.95,1.1,1,0.7
"31","Frangula alnus","snr",NA,NA,NA,NA,NA,NA,NA
"32","Fraxinus excelsior","snr",NA,NA,NA,0.6,1,1,1
"33","Hippophae rhamnoides","snr",NA,NA,NA,NA,NA,NA,NA
"34","Ilex aquifolium","snr",NA,NA,NA,NA,NA,NA,NA
"35","Juglans nigra","snr",NA,NA,0.5,1.05,1.1,0.65,0.4
